name_acc,id_acc,currency_acc,spend,date1,date2,day,note,,,,,,,
S - 4561387,1139503053685460,USD,"1,15",17-10-2025,17-10-2025,17,,,,,,,,
3046967053red,304696705356271,USD,"151,67",17-10-2025,17-10-2025,17,,,,,,,,
S-5104,3632060800455104,USD,"351,30",17-10-2025,17-10-2025,17,,,,,,,,
S-3990,747892687393990,USD,"133,03",17-10-2025,17-10-2025,17,,,,,,,,
S - 38839,1738208896752314,USD,"52,22",17-10-2025,17-10-2025,17,,,,,,,,
1783519332094151,1783519332094151,USD,"87,86",17-10-2025,17-10-2025,17,,,,,,,,
hhhjh,1068348204413691,USD,"189,51",17-10-2025,17-10-2025,17,,,,,,,,
cross39,1054550935663456,USD,"41,85",17-10-2025,17-10-2025,17,,,,,,,,
S - 15511,3662780160672411,USD,"135,85",17-10-2025,17-10-2025,17,,,,,,,,
S - 64859,855207166405803,USD,"83,24",17-10-2025,17-10-2025,17,,,,,,,,
S - 64861,338416375738591,USD,"16,64",17-10-2025,17-10-2025,17,,,,,,,,
s 193,1088240659186547,USD,"198,97",17-10-2025,17-10-2025,17,,,,,,,,
1,1120608719107000,USD,"22,38",17-10-2025,17-10-2025,17,,,,,,,,
Vũ Bắc 28,1032734204499736,USD,"35,55",17-10-2025,17-10-2025,17,,,,,,,,
Vũ Bắc 280,1525172851579092,USD,"261,43",17-10-2025,17-10-2025,17,,,,,,,,
Vũ Bắc 282,753523253360462,USD,"100,87",17-10-2025,17-10-2025,17,,,,,,,,
S - Maz5 0,866008405214118,USD,"0,01",17-10-2025,17-10-2025,17,,,,,,,,
Valorie 7 6.9 2,1399239874009788,USD,"128,14",17-10-2025,17-10-2025,17,,,,,,,,
Scrooge 3 30.6 1,288740804184004,USD,"218,71",17-10-2025,17-10-2025,17,,,,,,,,
Vũ Bắc 430,922533439386719,USD,"137,02",17-10-2025,17-10-2025,17,,,,,,,,
Vũ Bắc 431,1052640579307244,USD,"55,65",17-10-2025,17-10-2025,17,,,,,,,,
S-7777,349014871219802,USD,"30,72",17-10-2025,17-10-2025,17,,,,,,,,
S-7777,762794382380747,USD,"24,96",17-10-2025,17-10-2025,17,,,,,,,,
S-645331157617373,645331157617373,USD,"1.209,70",17-10-2025,17-10-2025,17,,,,,,,,
S 002,1026034838690671,USD,"88,78",17-10-2025,17-10-2025,17,,,,,,,,
SD Agency - 15627,4802297803218304,USD,"0,01",17-10-2025,17-10-2025,17,,,,,,,,
S - 64363,477592584037443,USD,"14,82",17-10-2025,17-10-2025,17,,,,,,,,
RoiBogdan 44 28/5 2,502937941393134,USD,"55,05",17-10-2025,17-10-2025,17,,,,,,,,
Marta 9.10 5,490939796081297,USD,"12,45",17-10-2025,17-10-2025,17,,,,,,,,
364988988547367,364988988547367,USD,"54,90",17-10-2025,17-10-2025,17,,,,,,,,
344758034055125,344758034055125,USD,"65,47",17-10-2025,17-10-2025,17,,,,,,,,
SD Agency - 53289,954998788474422,USD,"17,85",17-10-2025,17-10-2025,17,,,,,,,,
VIP 696,785363692429535,USD,"202,94",17-10-2025,17-10-2025,17,,,,,,,,
S-12212133red,1221213358287582,USD,"311,70",17-10-2025,17-10-2025,17,,,,,,,,
VIP 734,655880845722507,USD,"40,97",17-10-2025,17-10-2025,17,,,,,,,,
S-432326028690771,432326028690771,USD,"38,18",17-10-2025,17-10-2025,17,,,,,,,,
S-479475373555440,479475373555440,USD,"232,39",17-10-2025,17-10-2025,17,,,,,,,,
S-465806911772441,465806911772441,USD,"114,97",17-10-2025,17-10-2025,17,,,,,,,,
S-373662520881073,373662520881073,USD,"32,31",17-10-2025,17-10-2025,17,,,,,,,,
VIP 883,304153165118308,USD,"57,28",17-10-2025,17-10-2025,17,,,,,,,,
VIP 886,1827607844089026,USD,"390,77",17-10-2025,17-10-2025,17,,,,,,,,
VIP 897,1311020119373712,USD,"165,91",17-10-2025,17-10-2025,17,,,,,,,,
VIP 899,643420566937143,USD,"394,23",17-10-2025,17-10-2025,17,,,,,,,,
SD Agency - 15643,4852081608213411,USD,"48,31",17-10-2025,17-10-2025,17,,,,,,,,
S - 15645,1005019863746097,USD,"148,21",17-10-2025,17-10-2025,17,,,,,,,,
SD Agency - 15651,346489200687366,USD,"0,16",17-10-2025,17-10-2025,17,,,,,,,,
SD Agency - 15652,480914253667870,USD,"9,81",17-10-2025,17-10-2025,17,,,,,,,,
SD Agency - 15659,1079641579249452,USD,"78,25",17-10-2025,17-10-2025,17,,,,,,,,
S - 15669,279794277626873,USD,"44,41",17-10-2025,17-10-2025,17,,,,,,,,
SD Agency - 15073,5228309813887280,USD,"7,13",17-10-2025,17-10-2025,17,,,,,,,,
VIP 917,356617382932639,USD,"317,62",17-10-2025,17-10-2025,17,,,,,,,,
VIP 926,373564494606480,USD,"96,23",17-10-2025,17-10-2025,17,,,,,,,,
VIP 927,442840324288121,USD,"70,71",17-10-2025,17-10-2025,17,,,,,,,,
VIP 932,1305815119922450,USD,"449,20",17-10-2025,17-10-2025,17,,,,,,,,
VIP 933,263116975853762,USD,"438,02",17-10-2025,17-10-2025,17,,,,,,,,
S - 1312428,1078697829659089,USD,"88,49",17-10-2025,17-10-2025,17,,,,,,,,
S - 1312430,977922236191310,USD,"13,96",17-10-2025,17-10-2025,17,,,,,,,,
s 631,4030143997265512,USD,"344,38",17-10-2025,17-10-2025,17,,,,,,,,
1356251548779976,1356251548779976,USD,"39,85",17-10-2025,17-10-2025,17,,,,,,,,
S-2939096906251283,2939096906251283,USD,"16,22",17-10-2025,17-10-2025,17,,,,,,,,
S-1000377808845548,1000377808845548,USD,"31,13",17-10-2025,17-10-2025,17,,,,,,,,
S - 411691,1445778466411691,USD,"954,90",17-10-2025,17-10-2025,17,,,,,,,,
Bend1 2,1018154473095090,USD,"382,55",17-10-2025,17-10-2025,17,,,,,,,,
Santa 617,620962964435232,USD,"30,88",17-10-2025,17-10-2025,17,,,,,,,,
Santa 296,1470542230576420,USD,"67,72",17-10-2025,17-10-2025,17,,,,,,,,
Santa 637,483589844837547,USD,"197,18",17-10-2025,17-10-2025,17,,,,,,,,
Santa 475,973230594978573,USD,"114,34",17-10-2025,17-10-2025,17,,,,,,,,
Santa 764,1041125034564619,USD,"44,08",17-10-2025,17-10-2025,17,,,,,,,,
Santa 517,952549363624537,USD,"42,88",17-10-2025,17-10-2025,17,,,,,,,,
S - 456137,1173905590681101,USD,"329,43",17-10-2025,17-10-2025,17,,,,,,,,
SD Agency - 73277,1189388009514306,USD,"3,27",17-10-2025,17-10-2025,17,,,,,,,,
S - 456499,644073828488263,USD,"42,34",17-10-2025,17-10-2025,17,,,,,,,,
