name_acc,id_acc,currency_acc,spend,date1,date2,day,note,,,
VIP 927,442840324288121,USD,"11,41",25-10-2025,25-10-2025,25,,
VIP 932,1305815119922450,USD,"151,66",25-10-2025,25-10-2025,25,,
S - 1312422,744386783193380,USD,"447,98",25-10-2025,25-10-2025,25,,
s 631,4030143997265512,USD,"71,73",25-10-2025,25-10-2025,25,,
S - 782429,9494147797350966,USD,"44,91",25-10-2025,25-10-2025,25,,
S - 782430,8972830306151983,USD,"18,45",25-10-2025,25-10-2025,25,,
1083417290293693,1083417290293693,USD,"2,09",25-10-2025,25-10-2025,25,,
Bend1 2,1018154473095090,USD,"236,27",25-10-2025,25-10-2025,25,,
Santa 475,973230594978573,USD,"615,38",25-10-2025,25-10-2025,25,,
Santa 539,1327464768307441,USD,"166,98",25-10-2025,25-10-2025,25,,
Santa 488,989081499870015,USD,"214,52",25-10-2025,25-10-2025,25,,
Santa 557,9816151201768417,USD,"128,36",25-10-2025,25-10-2025,25,,
Santa 152,991571676426408,USD,"1.523,19",25-10-2025,25-10-2025,25,,
Santa 732 red,1358922055375322,USD,"462,24",25-10-2025,25-10-2025,25,,
Santa 168,1322299982895460,USD,"122,19",25-10-2025,25-10-2025,25,,
Santa 566,1724507704769398,USD,"420,08",25-10-2025,25-10-2025,25,,
Santa 174,9429815477138086,USD,"1.125,92",25-10-2025,25-10-2025,25,,
S - 88392,9592115337544302,USD,"406,71",25-10-2025,25-10-2025,25,,
S - 298392,710169788350374,USD,"4.480,07",25-10-2025,25-10-2025,25,,
S - 123,1394402868409863,USD,"17,14",25-10-2025,25-10-2025,25,,
S - 12316,1709006976395953,USD,"27,48",25-10-2025,25-10-2025,25,,
S - 12328,1210002444106815,USD,"382,00",25-10-2025,25-10-2025,25,,
S-12312,1517335082451351,USD,"44,82",25-10-2025,25-10-2025,25,,
S-135,1288846081807744,USD,"42,20",25-10-2025,25-10-2025,25,,
1081151169687958,1081151169687958,USD,"46,52",25-10-2025,25-10-2025,25,,
1082381569870550,1082381569870550,USD,"204,06",25-10-2025,25-10-2025,25,,
1084211726070168,1084211726070168,USD,"34,95",25-10-2025,25-10-2025,25,,
1084284382568660,1084284382568660,USD,"2.209,22",25-10-2025,25-10-2025,25,,
1085857279235268,1085857279235268,USD,"193,45",25-10-2025,25-10-2025,25,,
1086144052409004,1086144052409004,USD,"0,02",25-10-2025,25-10-2025,25,,
1086313805713981,1086313805713981,USD,"56,29",25-10-2025,25-10-2025,25,,
SD Agency - 15739,1473199746571584,USD,"183,05",25-10-2025,25-10-2025,25,,
SD Agency - 15741,1480063352841773,USD,"346,35",25-10-2025,25-10-2025,25,,
SD Agency - 15742,1482344265789527,USD,"84,11",25-10-2025,25-10-2025,25,,
SD Agency - 15743,1498833367326538,USD,"244,97",25-10-2025,25-10-2025,25,,
1567450100675876,1567450100675876,USD,"2,92",25-10-2025,25-10-2025,25,,
1569711473859284,1569711473859284,USD,"73,89",25-10-2025,25-10-2025,25,,
1589261808547254,1589261808547254,USD,"73,85",25-10-2025,25-10-2025,25,,
1595084051300442,1595084051300442,USD,"82,62",25-10-2025,25-10-2025,25,,
1615725138958979,1615725138958979,USD,"37,10",25-10-2025,25-10-2025,25,,
1637855580079305,1637855580079305,USD,"73,08",25-10-2025,25-10-2025,25,,
1842997579487022,1842997579487022,USD,"123,10",25-10-2025,25-10-2025,25,,
196377353542819,196377353542819,USD,"44,62",25-10-2025,25-10-2025,25,,
Visa · 4641,1006121864403937,VND,"139,12",25-10-2025,25-10-2025,25,,
Visa · 4641,659082570212079,VND,"90,99",25-10-2025,25-10-2025,25,,
Visa · 4617,2029986770819735,VND,"139,23",25-10-2025,25-10-2025,25,,
Visa · 7676,1325651551993573,VND,"68,89",25-10-2025,25-10-2025,25,,
S - 4448,2123294784839081,USD,"23,37",25-10-2025,25-10-2025,25,,
446,1247262173691066,USD,"139,06",25-10-2025,25-10-2025,25,,
445,632711229795690,USD,"87,16",25-10-2025,25-10-2025,25,,
45,684984767604975,USD,"166,15",25-10-2025,25-10-2025,25,,
41,1123238822972350,USD,"215,05",25-10-2025,25-10-2025,25,,
RoiBogdan 43 using 5,1184680866314524,USD,"34,35",25-10-2025,25-10-2025,25,,
RoiBogdan 42 14.8 3,1426674935413375,USD,"135,59",25-10-2025,25-10-2025,25,,
RoiBogdan 47 16.10 0,1271565988305942,USD,"343,33",25-10-2025,25-10-2025,25,,
14,1890166921821969,USD,"355,92",25-10-2025,25-10-2025,25,,
A95,1423312528696804,USD,"45,21",25-10-2025,25-10-2025,25,,
A87,2385799245133777,USD,"580,38",25-10-2025,25-10-2025,25,,
S - 456135,1780154309381857,USD,"126,90",25-10-2025,25-10-2025,25,,
87,1132978955298816,USD,"416,33",25-10-2025,25-10-2025,25,,
80,700210059325115,USD,"193,44",25-10-2025,25-10-2025,25,,
S - 456140 - K,1255790466555860,USD,"100,79",25-10-2025,25-10-2025,25,,
A68,1363677658077489,USD,"292,40",25-10-2025,25-10-2025,25,,
s 2828,1818111915632828,USD,"83,55",25-10-2025,25-10-2025,25,,
"Visa · 5709 - 0,00 USD",1034569688094560,USD,"137,62",25-10-2025,25-10-2025,25,,
S - 928,702796642390802,USD,"58,17",25-10-2025,25-10-2025,25,,
S - 929,698944809756271,USD,"24,94",25-10-2025,25-10-2025,25,,
RoiBogdan 44 9/6 3,1213454726904767,USD,"227,84",25-10-2025,25-10-2025,25,,
RoiBogdan 44 9/6 1,747076397651321,USD,"92,51",25-10-2025,25-10-2025,25,,
Visa · 5667,1230047465296059,USD,"6,11",25-10-2025,25-10-2025,25,,
BABU 6,1357095815410508,USD,"71,35",25-10-2025,25-10-2025,25,,
Visa · 5642,1366695377892287,USD,"109,27",25-10-2025,25-10-2025,25,,
ZK - 222,635540049646096,USD,"62,91",25-10-2025,25-10-2025,25,,
1229496201986963,1229496201986963,USD,"7,69",25-10-2025,25-10-2025,25,,
731920946165022,731920946165022,USD,"80,17",25-10-2025,25-10-2025,25,,
332,1252417293133426,USD,"195,73",25-10-2025,25-10-2025,25,,
325,2281253902276434,USD,"15,47",25-10-2025,25-10-2025,25,,
318,1841811783341620,USD,"1.117,68",25-10-2025,25-10-2025,25,,
RoiBogdan 43 using 4,1220141649754504,USD,"65,14",25-10-2025,25-10-2025,25,,
RoiBogdan 43 using 6,737034932012081,USD,"175,55",25-10-2025,25-10-2025,25,,
RoiBogdan 53 24.10 4,722360187033856,USD,"175,40",25-10-2025,25-10-2025,25,,
RoiBogdan 43 using 2,716835680862308,USD,"285,74",25-10-2025,25-10-2025,25,,
llya 1 20/6 1,2524879414529712,USD,"24,90",25-10-2025,25-10-2025,25,,
llya 1 20/6 2,556654057504077,USD,"27,25",25-10-2025,25-10-2025,25,,
llya 1 20/6 5,1466426690993114,USD,"13,71",25-10-2025,25-10-2025,25,,
RoiBogdan 43 29.9 3,993861339194458,USD,"16,41",25-10-2025,25-10-2025,25,,
1063208945970224,1063208945970224,USD,"102,04",25-10-2025,25-10-2025,25,,
bao anh,1927506804669231,USD,"202,12",25-10-2025,25-10-2025,25,,
S - 65489,1034947405259035,USD,"465,57",25-10-2025,25-10-2025,25,,
185,1357343845380865,USD,"11,12",25-10-2025,25-10-2025,25,,
182,4287429184825734,USD,"54,79",25-10-2025,25-10-2025,25,,
lele46,1375400827094758,USD,"410,39",25-10-2025,25-10-2025,25,,
