name_acc,id_acc,currency_acc,spend,date1,date2,day,note,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Symmetry 3 7,367979052498886,USD,264.72,01-10-2025,01-10-2025,1,,,,,,,,
Valorie 10 5,912656760246024,USD,1.41,01-10-2025,01-10-2025,1,,,,,,,,
S - Maz5 0,866008405214118,USD,136.65,01-10-2025,01-10-2025,1,,,,,,,,
Acc always spend 10k$ 13,1078170236831281,USD,6.04,01-10-2025,01-10-2025,1,,,,,,,,
Scrooge 3 30.6 1,288740804184004,USD,7.9,01-10-2025,01-10-2025,1,,,,,,,,
Vũ Bắc 431,1052640579307244,USD,1332.96,01-10-2025,01-10-2025,1,,,,,,,,
S-7777,349014871219802,USD,27.59,01-10-2025,01-10-2025,1,,,,,,,,
S-703299085280125,703299085280125,USD,163.82,01-10-2025,01-10-2025,1,,,,,,,,
S-645331157617373,645331157617373,USD,299.33,01-10-2025,01-10-2025,1,,,,,,,,
s 0653,310517481420653,USD,676.46,01-10-2025,01-10-2025,1,,,,,,,,
SD Agency - 15627,4802297803218304,USD,0.17,01-10-2025,01-10-2025,1,,,,,,,,
S - 123138,531460811522541,USD,257.32,01-10-2025,01-10-2025,1,,,,,,,,
S - 123140,672286803808561,USD,17.76,01-10-2025,01-10-2025,1,,,,,,,,
S - 64363,477592584037443,USD,15.59,01-10-2025,01-10-2025,1,,,,,,,,
S - 64371,3186605441659212,USD,39.7,01-10-2025,01-10-2025,1,,,,,,,,
RoiBogdan 44 28/5 2,502937941393134,USD,148.76,01-10-2025,01-10-2025,1,,,,,,,,
L-HunterM 2,624516485323039,USD,355.6,01-10-2025,01-10-2025,1,,,,,,,,
1161599567983084,1161599567983084,USD,18.88,01-10-2025,01-10-2025,1,,,,,,,,
364988988547367,364988988547367,USD,55.8,01-10-2025,01-10-2025,1,,,,,,,,
